term,estimate,std.error,statistic,p.value
(Intercept),1.6736,0.3151,5.3104,0
raceAsian,-0.0131,0.1092,-0.1201,0.9044
raceBlack,0.3896,0.1847,2.1094,0.0351
raceMixed,0.3803,0.184,2.0669,0.039
p_ambivalent,1.5254,0.4697,3.2479,0.0012
p_demanding,-0.2853,0.5977,-0.4774,0.6332
p_difficult,0.331,0.4216,0.785,0.4326
p_reciprocal,0.3537,0.3078,1.1492,0.2507
genderFemale,0.0671,0.0507,1.3235,0.186
age_group50-70,0.4132,0.0508,8.1416,0
education_levelMedium,-0.6482,0.3134,-2.0684,0.0388
education_levelHigh,-0.6881,0.3108,-2.2138,0.0271
raceAsian:p_ambivalent,-0.9096,0.9857,-0.9227,0.3564
raceBlack:p_ambivalent,-1.2692,1.5525,-0.8176,0.4138
raceMixed:p_ambivalent,-4.4574,1.6041,-2.7787,0.0056
raceAsian:p_demanding,0.2299,1.7426,0.1319,0.8951
raceBlack:p_demanding,-0.6697,1.9812,-0.338,0.7354
raceMixed:p_demanding,-1.2888,2.7738,-0.4647,0.6423
raceAsian:p_difficult,0.279,1.1561,0.2413,0.8093
raceBlack:p_difficult,-2.0568,1.8048,-1.1397,0.2547
raceMixed:p_difficult,0.4664,1.2857,0.3628,0.7168
raceAsian:p_reciprocal,-0.4221,0.7956,-0.5305,0.5959
raceBlack:p_reciprocal,-1.2893,0.6346,-2.0318,0.0424
raceMixed:p_reciprocal,1.4515,1.1892,1.2206,0.2225
